"DUQ120.Code.or.Value","DUQ120.Value.Description","DUQ120.Count","DUQ120.Cumulative","DUQ120.Skip.to.Item"
"1","Yes",51,51,""
"2","No",430,481,"End of Section"
"7","Refused",1,482,"End of Section"
"9","Don't know",0,482,"End of Section"
".","Missing",2356,2838,""
