"SMD055.Code.or.Value","SMD055.Value.Description","SMD055.Count","SMD055.Cumulative","SMD055.Skip.to.Item"
"13 to 78","Range of Values",1139,1139,NA
"80","80 years or older",2,1141,NA
"777","Refused",2,1143,NA
"999","Don't know",14,1157,NA
".","Missing",5633,6790,NA
