"PADTIMES.Code.or.Value","PADTIMES.Value.Description","PADTIMES.Count","PADTIMES.Cumulative","PADTIMES.Skip.to.Item"
"1 to 300","Range of Values",13432,13432,NA
".","Missing",7,13439,NA
