"OSQ030be.Code.or.Value","OSQ030be.Value.Description","OSQ030be.Count","OSQ030be.Cumulative","OSQ030be.Skip.to.Item"
"12 to 15","Range of Values",2,2,NA
"77777","Refused",0,2,NA
"99999","Don't know",0,2,NA
".","Missing",5409,5411,NA
