"URDMTMLC.Code.or.Value","URDMTMLC.Value.Description","URDMTMLC.Count","URDMTMLC.Cumulative","URDMTMLC.Skip.to.Item"
"0","At or above the detection limit",2,2,NA
"1","Below lower detection limit",2358,2360,NA
".","Missing",252,2612,NA
