"PUD071.Code.or.Value","PUD071.Value.Description","PUD071.Count","PUD071.Cumulative","PUD071.Skip.to.Item"
"1","Yes",1103,1103,NA
"2","No",447,1550,NA
".","Missing",8415,9965,NA
