"DXXLLLI.Code.or.Value","DXXLLLI.Value.Description","DXXLLLI.Count","DXXLLLI.Cumulative","DXXLLLI.Skip.to.Item"
"2102.8 to 22806.4","Range of Values",4658,4658,NA
".","Missing",1034,5692,NA
