"LBDTHGLC.Code.or.Value","LBDTHGLC.Value.Description","LBDTHGLC.Count","LBDTHGLC.Cumulative","LBDTHGLC.Skip.to.Item"
"0","At or above the detection limit",6267,6267,NA
"1","Below lower detection limit",2140,8407,NA
".","Missing",1033,9440,NA
