"CIQG33.Code.or.Value","CIQG33.Value.Description","CIQG33.Count","CIQG33.Cumulative","CIQG33.Skip.to.Item"
"0 to 200","Range of Values",63,63,NA
"777","Refused",0,63,NA
"999","Don't know",9,72,NA
".","Missing",706,778,NA
