"LBXSPH.Code.or.Value","LBXSPH.Value.Description","LBXSPH.Count","LBXSPH.Cumulative","LBXSPH.Skip.to.Item"
"1 to 9.7","Range of Values",6256,6256,NA
".","Missing",488,6744,NA
