"DUQ220Q.Code.or.Value","DUQ220Q.Value.Description","DUQ220Q.Count","DUQ220Q.Cumulative","DUQ220Q.Skip.to.Item"
"0 to 143","Range of Values",1764,1764,NA
"7777","Refused",5,1769,NA
"9999","Don't know",4,1773,NA
".","Missing",3023,4796,NA
