"DR1IM181.Code.or.Value","DR1IM181.Value.Description","DR1IM181.Count","DR1IM181.Cumulative","DR1IM181.Skip.to.Item"
"0 to 106.305","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
