"OHD26LAM.Code.or.Value","OHD26LAM.Value.Description","OHD26LAM.Count","OHD26LAM.Cumulative","OHD26LAM.Skip.to.Item"
"0 to 12","Range of Values",1611,1611,NA
"99","Calculation cannot be determined",172,1783,NA
".","Missing",4975,6758,NA
