"PFD069A.Code.or.Value","PFD069A.Value.Description","PFD069A.Count","PFD069A.Cumulative","PFD069A.Skip.to.Item"
"7 to 25550","Range of Values",736,736,NA
"66666","Since birth",4,740,NA
"77777","Refused",1,741,NA
"99999","Don't know",19,760,NA
".","Missing",9710,10470,NA
