"LBC187LA.Code.or.Value","LBC187LA.Value.Description","LBC187LA.Count","LBC187LA.Cumulative","LBC187LA.Skip.to.Item"
"0.1344 to 48.92","Range of Values",280,280,NA
".","Missing",4,284,NA
