"DSQISODI.Code.or.Value","DSQISODI.Value.Description","DSQISODI.Count","DSQISODI.Cumulative","DSQISODI.Skip.to.Item"
"0.85 to 10000","Range of Values",788,788,NA
".","Missing",7497,8285,NA
