"BIXS128K.Code.or.Value","BIXS128K.Value.Description","BIXS128K.Count","BIXS128K.Cumulative","BIXS128K.Skip.to.Item"
"143.86 to 916.76","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
