"WBXF100.Code.or.Value","WBXF100.Value.Description","WBXF100.Count","WBXF100.Cumulative","WBXF100.Skip.to.Item"
"6535.6618 to 6535.6618","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
