"URX4FP.Code.or.Value","URX4FP.Value.Description","URX4FP.Count","URX4FP.Cumulative","URX4FP.Skip.to.Item"
"0.07 to 7.72","Range of Values",2588,2588,NA
".","Missing",106,2694,NA
