"HSQ580.Code.or.Value","HSQ580.Value.Description","HSQ580.Count","HSQ580.Cumulative","HSQ580.Skip.to.Item"
"1 to 12","Range of Values",338,338,NA
"77","Refused",0,338,NA
"99","Don't know",3,341,NA
".","Missing",9494,9835,NA
