"LBCPDELA.Code.or.Value","LBCPDELA.Value.Description","LBCPDELA.Count","LBCPDELA.Cumulative","LBCPDELA.Skip.to.Item"
"26.21 to 7134","Range of Values",299,299,NA
".","Missing",2,301,NA
