"BIXS898K.Code.or.Value","BIXS898K.Value.Description","BIXS898K.Count","BIXS898K.Cumulative","BIXS898K.Skip.to.Item"
"72.46 to 1057.05","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
