"BPXDI4.Code.or.Value","BPXDI4.Value.Description","BPXDI4.Count","BPXDI4.Cumulative","BPXDI4.Skip.to.Item"
"0 to 130","Range of Values",447,447,NA
".","Missing",8891,9338,NA
