"DS1IVD.Code.or.Value","DS1IVD.Value.Description","DS1IVD.Count","DS1IVD.Cumulative","DS1IVD.Skip.to.Item"
"0.625 to 2500","Range of Values",2606,2606,NA
".","Missing",3300,5906,NA
