"DXDTRLE.Code.or.Value","DXDTRLE.Value.Description","DXDTRLE.Count","DXDTRLE.Cumulative","DXDTRLE.Skip.to.Item"
"5327.8 to 51338.2","Range of Values",4939,4939,NA
".","Missing",841,5780,NA
