"LBXTO1.Code.or.Value","LBXTO1.Value.Description","LBXTO1.Count","LBXTO1.Cumulative","LBXTO1.Skip.to.Item"
"0 to 240","Range of Values",5089,5089,NA
".","Missing",574,5663,NA
