"WTSBA28.Code.or.Value","WTSBA28.Value.Description","WTSBA28.Count","WTSBA28.Cumulative","WTSBA28.Skip.to.Item"
"0 to 362964.50606","Range of Values",946,946,NA
".","Missing",65,1011,NA
