"WBXP066.Code.or.Value","WBXP066.Value.Description","WBXP066.Count","WBXP066.Cumulative","WBXP066.Skip.to.Item"
"-96.2086 to 151.9632","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
