"DID330.Code.or.Value","DID330.Value.Description","DID330.Count","DID330.Cumulative","DID330.Skip.to.Item"
"2 to 250","Range of Values",62,62,NA
"6666","Provider did not specify goal",288,350,NA
"7777","Refused",1,351,NA
"9999","Don't know",275,626,NA
".","Missing",9144,9770,NA
