"DXXLSBMD.Code.or.Value","DXXLSBMD.Value.Description","DXXLSBMD.Count","DXXLSBMD.Cumulative","DXXLSBMD.Skip.to.Item"
"0.47 to 1.738","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
