"DSQTSODI.Code.or.Value","DSQTSODI.Value.Description","DSQTSODI.Count","DSQTSODI.Cumulative","DSQTSODI.Skip.to.Item"
"0.1 to 1500","Range of Values",697,697,NA
".","Missing",8557,9254,NA
