"LBXBAPCT.Code.or.Value","LBXBAPCT.Value.Description","LBXBAPCT.Count","LBXBAPCT.Cumulative","LBXBAPCT.Skip.to.Item"
"0 to 11.5","Range of Values",8925,8925,NA
".","Missing",1004,9929,NA
