"INQ020.Code.or.Value","INQ020.Value.Description","INQ020.Count","INQ020.Cumulative","INQ020.Skip.to.Item"
"1","Yes",7877,7877,NA
"2","No",1656,9533,NA
"7","Refused",56,9589,NA
"9","Don't know",53,9642,NA
".","Missing",329,9971,NA
