"DR2TFA.Code.or.Value","DR2TFA.Value.Description","DR2TFA.Count","DR2TFA.Cumulative","DR2TFA.Skip.to.Item"
"0 to 3737","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
