"LBXVDP.Code.or.Value","LBXVDP.Value.Description","LBXVDP.Count","LBXVDP.Cumulative","LBXVDP.Skip.to.Item"
"0.0071 to 0.0071","Range of Values",2740,2740,NA
".","Missing",554,3294,NA
