"LBDLUZSI.Code.or.Value","LBDLUZSI.Value.Description","LBDLUZSI.Count","LBDLUZSI.Cumulative","LBDLUZSI.Skip.to.Item"
"0.03 to 1.951","Range of Values",7254,7254,NA
".","Missing",832,8086,NA
