"LBXMC.Code.or.Value","LBXMC.Value.Description","LBXMC.Count","LBXMC.Cumulative","LBXMC.Skip.to.Item"
"29.5 to 43.8","Range of Values",8799,8799,NA
".","Missing",1036,9835,NA
