"URDPARLC.Code.or.Value","URDPARLC.Value.Description","URDPARLC.Count","URDPARLC.Cumulative","URDPARLC.Skip.to.Item"
"0","detectable result",487,487,NA
"1","below detectable limit",1502,1989,NA
".","Missing",136,2125,NA
