"SSGI4CM.Code.or.Value","SSGI4CM.Value.Description","SSGI4CM.Count","SSGI4CM.Cumulative","SSGI4CM.Skip.to.Item"
"0 to 100000","Range of Values",902,902,NA
".","Missing",44,946,NA
