"LBXHCR.Code.or.Value","LBXHCR.Value.Description","LBXHCR.Count","LBXHCR.Cumulative","LBXHCR.Skip.to.Item"
"1","Positive",64,64,NA
"2","Negative",33,97,NA
".","Missing",7724,7821,NA
