"LBX087LA.Code.or.Value","LBX087LA.Value.Description","LBX087LA.Count","LBX087LA.Cumulative","LBX087LA.Skip.to.Item"
"0.4 to 14.7","Range of Values",2298,2298,NA
".","Missing",249,2547,NA
