"CDQ001.Code.or.Value","CDQ001.Value.Description","CDQ001.Count","CDQ001.Cumulative","CDQ001.Skip.to.Item"
"1","Yes",879,879,""
"2","No",2934,3813,"CDQ010"
"7","Refused",0,3813,"CDQ010"
"9","Don't know",2,3815,"CDQ010"
".","Missing",0,3815,""
