"DRXTVB12.Code.or.Value","DRXTVB12.Value.Description","DRXTVB12.Count","DRXTVB12.Cumulative","DRXTVB12.Skip.to.Item"
"0 to 338.1","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
