"LBDINSI.Code.or.Value","LBDINSI.Value.Description","LBDINSI.Count","LBDINSI.Cumulative","LBDINSI.Skip.to.Item"
"4.26 to 1944.36","Range of Values",2921,2921,NA
".","Missing",270,3191,NA
