"PFD069M.Code.or.Value","PFD069M.Value.Description","PFD069M.Count","PFD069M.Cumulative","PFD069M.Skip.to.Item"
"8 to 20805","Range of Values",84,84,NA
"66666","Since birth",1,85,NA
"77777","Refused",0,85,NA
"99999","Don't know",1,86,NA
".","Missing",9559,9645,NA
