"INQ012.Code.or.Value","INQ012.Value.Description","INQ012.Count","INQ012.Cumulative","INQ012.Skip.to.Item"
"1","Yes",1737,1737,NA
"2","No",7852,9589,NA
"7","Refused",36,9625,NA
"9","Don't know",17,9642,NA
".","Missing",329,9971,NA
