"URXMCP.Code.or.Value","URXMCP.Value.Description","URXMCP.Count","URXMCP.Cumulative","URXMCP.Skip.to.Item"
"0.4264 to 24.12","Range of Values",2782,2782,NA
".","Missing",119,2901,NA
