"LBXTNA.Code.or.Value","LBXTNA.Value.Description","LBXTNA.Count","LBXTNA.Cumulative","LBXTNA.Skip.to.Item"
"0.019 to 3.104","Range of Values",1933,1933,NA
".","Missing",341,2274,NA
