"RIDAGEMN.Code.or.Value","RIDAGEMN.Value.Description","RIDAGEMN.Count","RIDAGEMN.Cumulative","RIDAGEMN.Skip.to.Item"
"0 to 959","Range of Values",10112,10112,NA
".","Missing",425,10537,NA
