"DR1IVB12.Code.or.Value","DR1IVB12.Value.Description","DR1IVB12.Count","DR1IVB12.Cumulative","DR1IVB12.Skip.to.Item"
"0 to 267.08","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
