"AUXU2KR.Code.or.Value","AUXU2KR.Value.Description","AUXU2KR.Count","AUXU2KR.Cumulative","AUXU2KR.Skip.to.Item"
"-10 to 115","Range of Values",2182,2182,NA
"666","No response",5,2187,NA
"888","Could not obtain",15,2202,NA
".","Missing",166,2368,NA
