"URDUHGLC.Code.or.Value","URDUHGLC.Value.Description","URDUHGLC.Count","URDUHGLC.Cumulative","URDUHGLC.Skip.to.Item"
"0","At or above the detection limit",2387,2387,NA
"1","Below lower detection limit",191,2578,NA
".","Missing",114,2692,NA
