"URXOP5.Code.or.Value","URXOP5.Value.Description","URXOP5.Count","URXOP5.Cumulative","URXOP5.Skip.to.Item"
"0.07 to 496.63","Range of Values",3015,3015,NA
".","Missing",137,3152,NA
