"SSGII3C1.Code.or.Value","SSGII3C1.Value.Description","SSGII3C1.Count","SSGII3C1.Cumulative","SSGII3C1.Skip.to.Item"
"0 to 100000","Range of Values",885,885,NA
".","Missing",61,946,NA
