"DR2IFA.Code.or.Value","DR2IFA.Value.Description","DR2IFA.Count","DR2IFA.Cumulative","DR2IFA.Skip.to.Item"
"0 to 3285","Range of Values",120077,120077,NA
".","Missing",794,120871,NA
