"DR1TMOIS.Code.or.Value","DR1TMOIS.Value.Description","DR1TMOIS.Count","DR1TMOIS.Cumulative","DR1TMOIS.Skip.to.Item"
"0 to 14005.07","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
