"DXXPRVFX.Code.or.Value","DXXPRVFX.Value.Description","DXXPRVFX.Count","DXXPRVFX.Cumulative","DXXPRVFX.Skip.to.Item"
"1","Yes",1070,1070,NA
"2","No",2623,3693,NA
".","Missing",15,3708,NA
