"DR2TIRON.Code.or.Value","DR2TIRON.Value.Description","DR2TIRON.Count","DR2TIRON.Cumulative","DR2TIRON.Skip.to.Item"
"0 to 129.41","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
