"CVDEXCL6.Code.or.Value","CVDEXCL6.Value.Description","CVDEXCL6.Count","CVDEXCL6.Cumulative","CVDEXCL6.Skip.to.Item"
"1","Yes",124,124,NA
"2","No",675,799,NA
".","Missing",3803,4602,NA
