"LBDHCBLC.Code.or.Value","LBDHCBLC.Value.Description","LBDHCBLC.Count","LBDHCBLC.Cumulative","LBDHCBLC.Skip.to.Item"
"0","At or above the detection limit",244,244,NA
"1","Below lower detection limit",3,247,NA
".","Missing",0,247,NA
