"WTSPP07.Code.or.Value","WTSPP07.Value.Description","WTSPP07.Count","WTSPP07.Cumulative","WTSPP07.Skip.to.Item"
"0 to 827621.06645","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
