"OCQ570.Code.or.Value","OCQ570.Value.Description","OCQ570.Count","OCQ570.Cumulative","OCQ570.Skip.to.Item"
"1","Yes",1897,1897,NA
"2","No",4078,5975,NA
"7","Refused",0,5975,NA
"9","Don't know",5,5980,NA
".","Missing",909,6889,NA
