"CIQP60.Code.or.Value","CIQP60.Value.Description","CIQP60.Count","CIQP60.Cumulative","CIQP60.Skip.to.Item"
"0 to 220","Range of Values",30,30,NA
"777","Refused",0,30,NA
"999","Don't know",0,30,NA
".","Missing",748,778,NA
