"DR2TS100.Code.or.Value","DR2TS100.Value.Description","DR2TS100.Count","DR2TS100.Cumulative","DR2TS100.Skip.to.Item"
"0 to 8.816","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
